a,op,b,answer
-35,+,-78,-113
-72,/,12,-6.0
96,-,21,75
-33,+,66,33
-4,-,-76,72
46,-,52,-6
-100,/,-77,1.2987012987012987
69,+,-17,52
88,*,93,8184
91,-,-34,125
43,+,60,103
5,+,-35,-30
-77,*,63,-4851
64,-,-3,67
73,*,26,1898
-31,-,87,-118
84,+,-73,11
86,+,-94,-8
-47,+,-69,-116
-25,*,-13,325
42,-,65,-23
-34,-,10,-44
53,/,77,0.6883116883116883
-80,+,-68,-148
62,+,-6,56
-8,+,-32,-40
-15,+,-42,-57
-26,*,-24,624
18,+,33,51
20,/,-1,-20.0
-6,-,-24,18
-50,/,65,-0.7692307692307693
15,/,-36,-0.4166666666666667
-44,/,-96,0.4583333333333333
8,-,40,-32
2,/,4,0.5
55,+,9,64
12,/,56,0.21428571428571427
-91,/,55,-1.6545454545454545
69,*,22,1518
-23,/,22,-1.0454545454545454
-97,-,9,-106
-25,*,-50,1250
-46,-,13,-59
-63,+,-27,-90
7,+,-64,-57
49,*,97,4753
-11,-,-27,16
87,-,81,6
54,/,75,0.72
0,*,64,0
1,-,1,0
-54,-,91,-145
86,-,-17,103
-89,*,72,-6408
45,-,14,31
-36,+,-26,-62
85,+,97,182
22,-,-88,110
28,*,62,1736
-5,*,74,-370
56,-,-13,69
-17,+,-12,-29
-52,*,-4,208
16,-,80,-64
-89,-,-41,-48
-84,-,57,-141
96,-,-33,129
-11,/,-14,0.7857142857142857
-1,+,24,23
-64,-,-28,-36
-80,*,-27,2160
30,/,-79,-0.379746835443038
41,*,92,3772
-49,*,-28,1372
72,-,-23,95
57,-,23,34
-55,/,10,-5.5
8,/,-84,-0.09523809523809523
37,-,-81,118
-44,*,-31,1364
11,-,-84,95
-83,-,-51,-32
-94,-,-56,-38
5,/,-94,-0.05319148936170213
-67,+,-66,-133
-8,-,-54,46
-8,/,-7,1.1428571428571428
-77,+,-70,-147
-93,+,39,-54
-33,*,-99,3267
72,-,-13,85
-94,/,-62,1.5161290322580645
95,+,-84,11
45,-,-89,134
-54,+,47,-7
-22,-,-49,27
-94,+,-35,-129
51,+,-83,-32
97,/,27,3.5925925925925926
85,/,-18,-4.722222222222222
63,+,-74,-11
52,-,-27,79
-63,*,-7,441
-64,*,76,-4864
61,-,-5,66
42,+,-53,-11
7,*,-53,-371
54,-,-24,78
44,+,-85,-41
-13,/,79,-0.16455696202531644
45,*,-54,-2430
66,-,6,60
-93,/,-40,2.325
21,/,39,0.5384615384615384
44,*,97,4268
-86,*,98,-8428
93,+,-95,-2
-73,+,19,-54
-43,/,-72,0.5972222222222222
-90,+,11,-79
-32,*,-37,1184
84,+,69,153
-47,/,-35,1.3428571428571427
-28,*,20,-560
87,/,-33,-2.6363636363636362
-61,/,-56,1.0892857142857142
-16,/,-85,0.18823529411764706
87,+,-10,77
-81,/,-43,1.8837209302325582
-96,/,-51,1.8823529411764706
82,*,-97,-7954
20,+,26,46
37,-,-6,43
-24,-,41,-65
7,+,-9,-2
5,+,77,82
25,*,65,1625
-31,+,-43,-74
81,+,-16,65
-51,/,29,-1.7586206896551724
77,/,-54,-1.4259259259259258
-12,-,-63,51
99,/,93,1.064516129032258
39,/,-13,-3.0
-9,-,63,-72
87,+,74,161
83,-,82,1
68,*,83,5644
-32,/,90,-0.35555555555555557
-10,-,43,-53
-97,*,-60,5820
-69,*,-91,6279
49,+,31,80
22,-,41,-19
-62,*,-5,310
-16,-,91,-107
-83,-,-36,-47
0,-,93,-93
25,-,89,-64
-38,+,36,-2
-89,+,22,-67
18,-,86,-68
59,-,25,34
61,*,14,854
-76,*,-61,4636
71,+,31,102
-37,-,-70,33
-12,+,62,50
-70,+,48,-22
73,+,73,146
-36,-,37,-73
15,*,42,630
-2,/,-60,0.03333333333333333
29,+,-98,-69
86,+,-57,29
75,+,-53,22
43,-,-55,98
-46,-,48,-94
86,*,-94,-8084
70,/,25,2.8
-29,-,-40,11
-78,-,50,-128
-70,*,-60,4200
-20,*,-30,600
